Title,Description,Lat,Long
8th Ave South,"<h2>Goal</h2>
<p>Maintain sidewalk on 8th Ave S to allow peds to walk safely to the park</p>
<h2>Progress Detail</h2>
<p>Project has stalled.</p>
<h2>Challenges and barriers</h2>
<p>Industrial nature of 8th Ave difficult for pedestrians</p>
<h2>Next Steps</h2>
<p>Work with businesses and SDOT on this.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5732877944072,-122.322520041333
Airport Way,"<h2>Goal</h2>
<p>Crosswalks on Airport Way</p>
<h2>Progress Detail</h2>
<p>Cross walk added at the new traffic light (Stanley and Airport)</p>
<h2>Challenges and barriers</h2>
<p>Getting a pedestrian-operated light across Airport Way requires 200 people/hour. Not enough traffic to get city to install.</p>
<h2>Next Steps</h2>
<p>Provide red crossing flags for pedestrians.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5480677902742,-122.314682004003
Airport Way stop lights,"<h2>Goal</h2>
<p>Add stop lights along Airport Way and make more pedestrian friendly</p>
<h2>Progress Detail</h2>
<p>Sidewalk in front of Fran's has been rebuilt</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.6062077998013,-122.332072004288
Bike & Pedestrian connections,"<h2>Goal</h2>
<p>Ped and bike connections with South Park and Beacon Hill. Connect GT with the urban trail system. </p>
<h2>Status</h2>
<p>**multiple</p>
<h2>Progress Detail</h2>
<p>Ellis has bike lane. Airport Way S has been identified for bike lanes. </p>
<h2>Challenges and barriers</h2>
<p>Current facilities don't connect to anywhere.</p>
<h2>Next Steps</h2>
<p>Work with SDOT to ensure the Bike Master Plan is implemented in Georgetown</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan, 2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.6062077998013,-122.332072004288
Georgetown Steam Plant,"<h2>Goal</h2>
<p>Pedestrian and bicycle connections to the GT Steam Plant</p>
<h2>Progress Detail</h2>
<p>Seattle City Light is working with KCIA on this</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.6062077998013,-122.332072004288
Nebraska Street.,"<h2>Goal</h2>
<p>Sidewalk, paving, curb, gutter, and drainage along Nebraska</p>
<h2>Progress Detail</h2>
<p>Nebraska has been paved</p>
<br><br>
<h4>Study:</h4>
<p>2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.6062077998013,-122.332072004288
