Title,Description,Lat,Long
8th ave,"<h1>8th Ave South</h1>
<h3>Goal:</h3>
<p>Maintain sidewalk on 8th Ave S to allow peds to walk safely to the park</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Project has stalled.</p>
<h3>Challenges and barriers:</h3>
<p>Industrial nature of 8th Ave difficult for pedestrians</p>
<h3>Next Steps:</h3>
<p>Work with businesses and SDOT on this.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5392230,-122.3227000
airport 13th crossswalks,"<h1>Airport Way</h1>
<h3>Goal:</h3>
<p>Crosswalks on Airport Way</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Cross walk added at the new traffic light (Stanley and Airport)</p>
<h3>Challenges and barriers:</h3>
<p>Getting a pedestrian-operated light across Airport Way requires 200 people/hour. Not enough traffic to get city to install.</p>
<h3>Next Steps:</h3>
<p>Provide red crossing flags for pedestrians.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5516070,-122.3192880
airport stop lights,"<h1>Airport Way stop lights</h1>
<h3>Goal:</h3>
<p>Add stop lights along Airport Way and make more pedestrian friendly</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Sidewalk in front of Fran's has been rebuilt</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5493190,-122.3170130
bike ped georgetown,"<h1>Bike & Pedestrian connections</h1>
<h3>Goal:</h3>
<p>Ped and bike connections with South Park and Beacon Hill. Connect GT with the urban trail system. </p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Ellis has bike lane. Airport Way S has been identified for bike lanes. </p>
<h3>Challenges and barriers:</h3>
<p>Current facilities don't connect to anywhere.</p>
<h3>Next Steps:</h3>
<p>Work with SDOT to ensure the Bike Master Plan is implemented in Georgetown</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan, 2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5482040,-122.3136230
steamplant,"<h1>Georgetown Steam Plant</h1>
<h3>Goal:</h3>
<p>Pedestrian and bicycle connections to the GT Steam Plant</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Seattle City Light is working with KCIA on this</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5434820,-122.3161440
nebraska,"<h1>Nebraska Street.</h1>
<h3>Goal:</h3>
<p>Sidewalk, paving, curb, gutter, and drainage along Nebraska</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Nebraska has been paved</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5494200,-122.3183220
corson ellis planting,"<h1>Planting Strip – Corson & Ellis</h1>
<h3>Goal:</h3>
<p>Widen the planting strip on Corson and Ellis</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Some depaving is happening on Corson</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5440030,-122.3188800
traffic calming,"<h1>Traffic Calming</h1>
<h3>Goal:</h3>
<p>Use traffic calming to protect residential streets</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Traffic circles installed throughout the neighborhoos with Neighborhood Street Fund grants</p>
<h3>Challenges and barriers:</h3>
<p>Corgiat Mitigation not fully implemented on Corson</p>
<h3>Next Steps:</h3>
<p>Neckdowns at Corson and Marginal; Ellis and Marginal; 12th and Vale</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5432360,-122.3212080
train station stop,"<h1>Train station stop</h1>
<h3>Goal:</h3>
<p>Train station stop</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>A Link stop at Boeing Access Road is included in initial study of Sound Transit 3 funding</p>
<h3>Challenges and barriers:</h3>
<p>One of many things being considered</p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan, 2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",47.5107650,-122.2820370
