Title,Description,Lat,Long
airport 13th parks,"<h1>Airport way & 13th ave</h1>
<h3>Goal:</h3>
<p>Add pocket parks at Airport and 13th intersection</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5486530,-122.3161330
georgetown playground,"<h1>Children's Playground</h1>
<h3>Goal:</h3>
<p>Install a childrens playground</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5448290,-122.3213800
doris pocket park,"<h1>Doris St. & Airport Way</h1>
<h3>Goal:</h3>
<p>Add a pocket park or plaza at the corner of Doris and Airport</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p>Now the Trailer Park Mall</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5501590,-122.3179140
oxbow p-patch,"<h1>Oxbow P-Patch</h1>
<h3>Goal:</h3>
<p>Develop P-Patch</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p>Oxbow P-Patch opened in 2005</p>
<h3>Challenges and barriers:</h3>
<p>Participation and ongoing maintenance; perception that Georgetown is unsafe to garden</p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5448430,-122.3218630
oxbow,"<h1>Oxbow Park Acquisition</h1>
<h3>Goal:</h3>
<p>Acquire Oxbow Park from WSDOT</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p>Property acquired and developed in 2004</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p>COMPLETE</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5449590,-122.3219700
slip4,"<h1>Slip 4 land acquisition</h1>
<h3>Goal:</h3>
<p>Acquire land around Slip 4 for park / public use</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5359350,-122.3193520
