Title,Description,Lat,Long
Airport 13th intersection,"<h1>Airport & 13th</h1>
<h2>Goal</h2>
<p>Narrow the intersection at Airport and 13th</p>
<br><br>
<h4>Study:</h4>
<p>2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Transportation</p>
",0,0
airport 13th stop,"<h1>Airport & 13th</h1>
<h2>Goal</h2>
<p>Improved stop facility at Airport and 13th </p>
<h2>Progress Detail</h2>
<p>Installed signal 2006 as part of I-5 rebuild mitigation</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",0,0
Lucile St. Bridge,"<h1>Lucile St. Bridge</h1>
<h2>Goal</h2>
<p>Rehabilitate the Lucile St bridge</p>
<h2>Progress Detail</h2>
<p>Reconstructed @1979</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",0,0
Road Diet,"<h1>Road Diet</h1>
<h2>Goal</h2>
<p>Road diet (rechannelize from 4 lanes to 3 lanes) and add bike lanes on Ellis and Albro</p>
<br><br>
<h4>Study:</h4>
<p>2007 Bicycle Master Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",0,0
Signalization of 4th and Fidalgo,"<h1>Signalization of 4th and Fidalgo</h1>
<h2>Goal</h2>
<p>Signalization of 4th and Fidalgo</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Transportation</p>
",0,0
