Title,Description,Lat,Long
Landlord Training,"<h1>Landlord Training</h1>
<h2>Goal</h2>
<p>Landlord Training</p>
<h2>Progress Detail</h2>
<p>Training Programs offered and publicized</p>
<h2>Challenges and barriers</h2>
<p>Reaching out to landlords to attend</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
Neighborhood Anchor Designation,"<h1>Neighborhood Anchor Designation</h1>
<h2>Goal</h2>
<p>Neighborhood Anchor Designation</p>
<h2>Progress Detail</h2>
<p>Designation is no longer a thing</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
