Title,Description,Lat,Long
Title,Description,Lat,Long
New lights in Hot-spots,"<h1>New lights in Hot-spots</h1>
<h2>Goal</h2>
<p>New lights in Hot-spots</p>
<h2>Next Steps</h2>
<p>Identify what the hot spots are - Oxbow Park?  Hat n Boots?</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",0,0
Pedestrian safety signage in alleys,"<h1>Pedestrian safety signage in alleys</h1>
<h2>Goal</h2>
<p>Pedestrian safety signage in alleys</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",0,0
