Title,Description,Lat,Long
"Community Policing, storefront presence","<h2>Goal</h2>
<p>Community Policing, storefront presence</p>
<h2>Progress Detail</h2>
<p>KC Sexual Assault Services maintains a full time presence at Stevenson; Georgetown Guardians organized to oversee sex offender housing; regular updates from the community police officer at our monthly meetings and on our list serve; Nighttime safety walks; neighborhood block watches organized; Georgetown Night Out established in 2008</p>
<h2>Challenges and barriers</h2>
<p>All progress cut doe to lack of fundings.</p>
<h2>Next Steps</h2>
<p>Reestablish KSARC program.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",47.6062077998013,-122.332072004288
Hotel concerns,"<h2>Goal</h2>
<p>Evaluate area around hotels</p>
<h2>Status</h2>
<p>??motels vs hotels, dupe??</p>
<h2>Progress Detail</h2>
<p>SPD regularly checks the hotels for criminal activity</p>
<h2>Challenges and barriers</h2>
<p>It’s a difficult situation. Constant vigilance is necessary.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",47.6062077998013,-122.332072004288
Improve Alley Lighting,"<h2>Goal</h2>
<p>Improve Alley Lighting</p>
<h2>Progress Detail</h2>
<p>City now mantaining lights on a rotation, not on a complaint basis.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",47.6062077998013,-122.332072004288
