Title,Description,Lat,Long
Abatement of Nuisance Hotels,"<h2>Title</h2>
<p>motels</p>
<h2>Goal</h2>
<p>Abatement of Nuisance Hotels</p>
<h2>Status</h2>
<p>**multiple</p>
<h2>Progress Detail</h2>
<p>Some motels have changed hands; Anecdotal evidence that prostitution and drug use at the hotels in decline.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
Encourage live/work spaces,"<h2>Title</h2>
<p>Encourage live/work spaces</p>
<h2>Goal</h2>
<p>Encourage live/work spaces</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
Encourage residential infill development on vacant land,"<h2>Title</h2>
<p>Encourage residential infill development on vacant land</p>
<h2>Goal</h2>
<p>Encourage residential infill development on vacant land</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
Encourage the development of affordable housing,"<h2>Title</h2>
<p>Encourage the development of affordable housing</p>
<h2>Goal</h2>
<p>Encourage the development of affordable housing</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
Increase the residential population in some areas to support retail and public services ,"<h2>Title</h2>
<p>Increase the residential population in some areas to support retail and public services </p>
<h2>Goal</h2>
<p>Increase the residential population in some areas to support retail and public services </p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
Preserve Residential Zoned Lands,"<h2>Title</h2>
<p>Preserve Residential Zoned Lands</p>
<h2>Goal</h2>
<p>Preserve Residential Zoned Lands</p>
<h2>Progress Detail</h2>
<p>GCC Land Use Committee working on creation of a Conservation District; submitting applications for landmarks; and adopting Design Guidelines for new development  </p>
<h2>Next Steps</h2>
<p>Land Use Committee to take recommendations to full Council</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan, 2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Land Use</p>
",0,0
