Title,Description,Lat,Long
"Encourage landmarking, building re-use","<h1>Encourage landmarking, building re-use</h1>
<h2>Goal</h2>
<p>Encourage landmarking, building re-use</p>
<h2>Progress Detail</h2>
<p>Inventory of structures done; Decided not to persue historic district designation.</p>
<h2>Next Steps</h2>
<p>Working with councilmember Rasmussen's office on his neighborhood conservation plans.</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",0,0
Gateways,"<h1>Gateways</h1>
<h2>Goal</h2>
<p>Gateways</p>
<h2>Progress Detail</h2>
<p>Working on Welcome to Georgetown signs</p>
<h2>Challenges and barriers</h2>
<p>Working with Seattle Design Center to get signs completed.</p>
<h2>Next Steps</h2>
<p>Continue to identify grant sources for additional gateway treatments</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan, 2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",0,0
Historic Buildings,"<h1>Historic Buildings</h1>
<h2>Goal</h2>
<p>Tear down buildings beyond repair and replace with buildings that retain the ""Old Georgetown"" style</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",0,0
"Promote GT historic identity through appropriate streetscape improvements in the commercial area…historic street lighting, seating, hanging baskets, decorative brick paving.","<h1>Promote GT historic identity through appropriate streetscape improvements in the commercial area…historic street lighting, seating, hanging baskets, decorative brick paving.</h1>
<h2>Goal</h2>
<p>Promote GT historic identity through appropriate streetscape improvements in the commercial area…historic street lighting, seating, hanging baskets, decorative brick paving.</p>
<h2>Progress Detail</h2>
<p>Georgetown Festival St. completed in 2015</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1998 Neighborhood Plan, 2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",0,0
