Title,Description,Lat,Long
georgetown safety,"<h1> storefront presence</h1>
<h3>Goal:</h3>
<p> storefront presence</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>KC Sexual Assault Services maintains a full time presence at Stevenson; Georgetown Guardians organized to oversee sex offender housing; regular updates from the community police officer at our monthly meetings and on our list serve; Nighttime safety walks; neighborhood block watches organized; Georgetown Night Out established in 2008</p>
<h3>Challenges and barriers:</h3>
<p>All progress cut doe to lack of fundings.</p>
<h3>Next Steps:</h3>
<p>Reestablish KSARC program.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",47.5428120,-122.3226700
hotels,"<h1>Hotel concerns</h1>
<h3>Goal:</h3>
<p>Evaluate area around hotels</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>SPD regularly checks the hotels for criminal activity</p>
<h3>Challenges and barriers:</h3>
<p>It’s a difficult situation. Constant vigilance is necessary.</p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",47.5414100,-122.3119920
georgetown alleys,"<h1>Improve Alley Lighting</h1>
<h3>Goal:</h3>
<p>Improve Alley Lighting</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>City now mantaining lights on a rotation, not on a complaint basis.</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Safety</p>
",47.5488700,-122.3196310
