Title,Description,Lat,Long
georgetown buildings,"<h1> building re-use</h1>
<h3>Goal:</h3>
<p> building re-use</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Inventory of structures done; Decided not to persue historic district designation.</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p>Working with councilmember Rasmussen's office on his neighborhood conservation plans.</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",47.5475160,-122.3200280
georgetown gateways,"<h1>Gateways</h1>
<h3>Goal:</h3>
<p>Gateways</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Working on Welcome to Georgetown signs</p>
<h3>Challenges and barriers:</h3>
<p>Working with Seattle Design Center to get signs completed.</p>
<h3>Next Steps:</h3>
<p>Continue to identify grant sources for additional gateway treatments</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan, 2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",47.5531570,-122.3200170
georgetown historic buildings,"<h1>Historic Buildings</h1>
<h3>Goal:</h3>
<p>Tear down buildings beyond repair and replace with buildings that retain the ""Old Georgetown"" style</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",47.5477110,-122.3218200
georegetown historic identity,"<h1> seating</h1>
<h3>Goal:</h3>
<p> seating</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Georgetown Festival St. completed in 2015</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan, 2007 Airport Way Visioning</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",47.5477550,-122.3202320
