Title,Description,Lat,Long
main street,"<h1>Main Street</h1>
<h3>Goal:</h3>
<p>""Main Street"" revitalization / attract investment</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p>Airport way is revitalized</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p>Identify other streets that could be revitalized</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",47.5495650,-122.3172280
hat and boots,"<h1>Oxbow Park</h1>
<h3>Goal:</h3>
<p>Hat and Boots preservation</p>
<h3>Status:</h3>
<p>Complete</p>
<h3>Progress Detail:</h3>
<p>Hat & Boots moved</p>
<h3>Challenges and barriers:</h3>
<p>Ongoing graffitti problem with Boots</p>
<h3>Next Steps:</h3>
<p>Restoration of the Hat; repainting the Boots</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",47.5450170,-122.3213260
