Title,Description,Lat,Long
Main Street,"<h2>Title</h2>
<p>Main Street</p>
<h2>Goal</h2>
<p>""Main Street"" revitalization / attract investment</p>
<h2>Progress Detail</h2>
<p>Airport way is revitalized</p>
<h2>Next Steps</h2>
<p>Identify other streets that could be revitalized</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",0,0
Oxbow Park,"<h2>Title</h2>
<p>Oxbow Park</p>
<h2>Goal</h2>
<p>Hat and Boots preservation</p>
<h2>Progress Detail</h2>
<p>Hat & Boots moved</p>
<h2>Challenges and barriers</h2>
<p>Ongoing graffitti problem with Boots</p>
<h2>Next Steps</h2>
<p>Restoration of the Hat; repainting the Boots</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Historic Preservation</p>
",0,0
