Title,Description,Lat,Long
bailey,"<h1>Bailey Street</h1>
<h3>Goal:</h3>
<p>Develop safe connections to link Georgetown’s residential area south of Bailey with the Georgetown Playfield.</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p>Michigan Street heavy volume; high speeds coming off the freeway at Corson.</p>
<h3>Next Steps:</h3>
<p>Neighborhood street fund opportunities</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5476390,-122.3187510
georgetown dog park,"<h1>Dog park (off leash area)</h1>
<h3>Goal:</h3>
<p>Dog park (off leash area)</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5461180,-122.3158970
airport greenbelt,"<h1>Greenbelt north of the Airport</h1>
<h3>Goal:</h3>
<p>Develop open space, public access, pathways in the greenbelt north of the Airport</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p>Don't know where this is</p>
<h3>Next Steps:</h3>
<p>Include in any future Pro-Parks levy</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5470740,-122.3157690
stage,"<h1>Stage for outdoor music</h1>
<h3>Goal:</h3>
<p>Stage for outdoor music</p>
<h3>Status:</h3>
<p>No Progress</p>
<h3>Progress Detail:</h3>
<p><em>Unknown</em></p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",47.5418600,-122.3122930
