Title,Description,Lat,Long
graffiti georgetown,"<h1>Anti-graffiti campaign</h1>
<h3>Goal:</h3>
<p>Anti-graffiti campaign</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>DROF grant issed for this</p>
<h3>Challenges and barriers:</h3>
<p>Ongoing gang/graffiti problem. </p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5493330,-122.3213480
georgetown festivals,"<h1>Community Festivals</h1>
<h3>Goal:</h3>
<p>Community Festivals</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Carnival, History Tour, Garden Walk, Neighborhood BBQ</p>
<h3>Challenges and barriers:</h3>
<p><em>Unknown</em></p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5438870,-122.3208330
ecology standards,"<h1> better ecology standards for business</h1>
<h3>Goal:</h3>
<p> better ecology standards for business</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Much encouragement is being put forth re: CDL, Waste Management</p>
<h3>Challenges and barriers:</h3>
<p>Zoning. Not everyone has same definition of clean.</p>
<h3>Next Steps:</h3>
<p>Working with OSE and King County Public Health</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan, 2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5399980,-122.3226240
georegetown cleanups,"<h1>Neighborhood Clean-ups</h1>
<h3>Goal:</h3>
<p>Neighborhood Clean-ups</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Spring cleanups annually</p>
<h3>Challenges and barriers:</h3>
<p>Getting people to show up, coordinating, logistics</p>
<h3>Next Steps:</h3>
<p>Keep up the good work!</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5431200,-122.3210470
georgetown old city hall,"<h1>Old City Hall</h1>
<h3>Goal:</h3>
<p>Mini-City Hall in Old City Hall with bulletin board, meeting rooms. </p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Georgetown City Hall restoration completed and GCC given permanent use of one room and shared use of a large meeting room.  However, public access is not 24/7</p>
<h3>Challenges and barriers:</h3>
<p>Current owners use most of the building</p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5476440,-122.3164260
local public art,"<h1>Public art by local artists</h1>
<h3>Goal:</h3>
<p>Public art by local artists</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>8th Ave street end kiosk; Garden Hat installation at Oxbow; Graffitti wall facing 4th Ave. Festival St. art. </p>
<h3>Challenges and barriers:</h3>
<p>Identifying sources of money, locating appropriate locations</p>
<h3>Next Steps:</h3>
<p>Encourage community involvement</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5352830,-122.3225060
south seattle college,"<h1>South Seattle College</h1>
<h3>Goal:</h3>
<p>Establish a community center with computer lab and job center</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Job center located at SSCC Georgetown Annex</p>
<h3>Challenges and barriers:</h3>
<p>Have a community space in Georgetown City Hall</p>
<h3>Next Steps:</h3>
<p><em>Unknown</em></p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan, 2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5500000,-122.3500000
steamplant museum,"<h1>Steam Plant</h1>
<h3>Goal:</h3>
<p>City support and endorsement of the Steam Plant Museum</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Seattle City Light is working on moving this forward</p>
<h3>Challenges and barriers:</h3>
<p>SCL is still working with KCIA to establish permenant access to the site.</p>
<h3>Next Steps:</h3>
<p>Work with SCL on their strategic plan for steam plant.</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5426710,-122.3161330
tree planting,"<h1>Tree plantings</h1>
<h3>Goal:</h3>
<p>Tree plantings</p>
<h3>Status:</h3>
<p>In Progress</p>
<h3>Progress Detail:</h3>
<p>Trees planted on Corson, Flora, Ellis, 8th Ave. Progress has been made. As of 2015, City has recommitted to neighborhood tree planting.</p>
<h3>Challenges and barriers:</h3>
<p>Hardscaping all the way to the property line in the industrial zoned areas; No planting strip on Carleton</p>
<h3>Next Steps:</h3>
<p>Identify more areas where trees can be planted; work with the city arborist to get permissions to plant</p>
<br><br>
<h4>Study:</h4>
<p>1977 Neighborhood Plan, 1998 Neighborhood Plan, 2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Quality of Life</p>
",47.5433370,-122.3231500
