Title,Description,Lat,Long
Title,Description,Lat,Long
Baily Street,"<h1>Baily Street</h1>
<h2>Goal</h2>
<p>Develop safe connections to link Georgetown’s residential area south of Bailey with the Georgetown Playfield.</p>
<h2>Challenges and barriers</h2>
<p>Michigan Street heavy volume; high speeds coming off the freeway at Corson.</p>
<h2>Next Steps</h2>
<p>Neighborhood street fund opportunities</p>
<br><br>
<h4>Study:</h4>
<p>1995 Needs Assessment, 1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",0,0
Dog park (off leash area),"<h1>Dog park (off leash area)</h1>
<h2>Goal</h2>
<p>Dog park (off leash area)</p>
<br><br>
<h4>Study:</h4>
<p>2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",0,0
Greenbelt north of the Airport,"<h1>Greenbelt north of the Airport</h1>
<h2>Goal</h2>
<p>Develop open space, public access, pathways in the greenbelt north of the Airport</p>
<h2>Challenges and barriers</h2>
<p>Don't know where this is</p>
<h2>Next Steps</h2>
<p>Include in any future Pro-Parks levy</p>
<br><br>
<h4>Study:</h4>
<p>1998 Neighborhood Plan</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",0,0
Stage for outdoor music,"<h1>Stage for outdoor music</h1>
<h2>Goal</h2>
<p>Stage for outdoor music</p>
<br><br>
<h4>Study:</h4>
<p>2008 Duwamish Visioning</p>
<h5>Category:</h5>
<p>Parks and Open Space</p>
",0,0
